AGE,GENDER,DOMAIN,PhD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1.DEV_STUD_SKILL,PU2.IMPRV_STUD_LEARN,PU3.USEFUL_FOR_TEACH,PEU1.USER_FRIENDLY,PEU2.EZ_FIND_INFO,PEU3.EZ_EDIT_INFO,ENJ1.STIMULATE_CERIOSITY,ENJ2.ENTERTAINING,Qu1.CONTENT_RELIABLE,Qu2.CONTENT_UPDATED,Qu3.CONTENT_COMPRESV,Qu4.CONTENT_LOWER_QUALITY,Qu5.CONTENT_EDIT_TRUST,Vis1.VIZ_IMPROV,Vis2.EZ_RECORD_CONTRIB,Vis3.USED_CITE_PAPER,Im1.POPULAR_COLLEAGUES,Im2.APPREC_EDU_SHARE,Im3.COLLEAGUES_USING,SA1.IMPT_SHARE_ACADEMIC,SA2.IMPT_SHARE_RESEARCH,SA3.IMPT_STUD_ONLINE_COL,Use1.USED_TO_TEACH_MTRIAL,Use2.USED_TO_DEV_ACTIV,Use3.REC_STUD_USE,Use4.REC_COLL_USE,Use5.AGGREE_STUD_USE,Pf1.CONTRIB_BLOG,Pf2.CONTRIB_SOCIAL_NET,Pf3.PUBLISH_ACAD_OPEN_PLAT,JR1.UNIV_PROMOTE_OPEN_COLLAB,JR2.UNIV_CONSIDER_OPEN_COLLAB,BI1.FUTURE_REC_USE_COLL_STUD,BI2.FUTURE_USE_TEACH,Inc1.HELPFUL_BEST_PRAC,Inc2.HELPFUL_GET_INST_COLL,Inc3.HELPFUL_GET_TRAIN,Inc4.HELPFUL_INSTITUTION_RECGN,Exp1.CONSULT_EXPERTISE,Exp2.CONSULT_ACAD_ISSUES,Exp3.CONSULT_PERSONAL_ISSUES,Exp4.CONTRIB_WIKI,Exp5.USING_WORK_WITH_STUD
38,Female,Others,No,8,UOC,Assistant,,,No,3,1,1,5,5,3,5,5,3,5,3,5,1,3,5,1,1,5,1,5,5,5,1,1,1,1,3,1,1,1,5,3,1,3,5,5,5,3,3,3,5,1,1
48,Female,Law&Politics,Yes,14,UOC,Associate,,,No,1,3,3,5,5,1,5,3,3,3,3,5,5,5,3,1,1,5,1,5,5,5,1,3,1,1,1,1,1,3,5,1,1,3,5,1,1,5,1,5,3,1,1
44,Female,Arts&Humanities,Yes,15,UOC,Associate,,,No,3,3,5,5,5,3,3,5,3,3,3,5,3,3,5,1,1,1,1,5,5,5,1,1,3,1,3,5,5,3,5,5,5,5,5,5,5,5,5,5,1,1,3
33,Female,Others,Yes,,UOC,Assistant,,,Yes,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,1,1,5,3,5,3,1,3,3,1,3
40,Female,HealthSciences,Yes,2,UOC,Assistant,,,No,3,3,3,5,5,3,3,5,3,3,3,5,5,5,5,1,1,3,1,5,5,5,1,3,1,1,3,3,3,3,5,1,1,3,3,1,1,5,3,5,5,1,5
29,Female,Engineering&Architecture,No,5,UOC,Lecturer,,,No,3,3,1,5,3,5,5,5,3,5,3,5,5,3,5,1,3,5,1,5,5,5,1,1,1,1,3,3,5,5,5,5,3,3,5,5,3,3,1,5,5,1,5
32,Female,Arts&Humanities,Yes,3,UOC,Assistant,,,No,3,3,3,5,5,3,5,5,5,5,5,3,5,5,3,1,1,1,1,5,5,5,3,1,3,3,5,3,3,3,3,3,5,5,5,5,5,3,5,5,5,1,1
35,Female,Others,No,7,UOC,Assistant,,,No,3,3,3,5,5,3,5,5,3,5,5,3,3,5,3,1,1,5,3,5,5,5,1,1,1,1,3,1,5,5,5,5,3,3,5,5,5,5,1,5,5,1,1
34,Female,Arts&Humanities,Yes,,UOC,Associate,,,No,1,1,3,5,5,5,5,3,3,3,1,1,1,3,3,1,1,3,1,3,3,3,1,1,1,1,1,1,1,1,5,5,1,1,3,3,3,1,1,1,3,1,5
38,Female,Others,Yes,13,UOC,Assistant,,,No,3,3,1,5,5,1,5,5,3,5,3,1,1,3,1,1,5,5,5,5,5,5,1,1,3,1,5,1,5,1,5,1,1,1,5,5,5,5,3,3,3,1,1
41,Female,Others,Yes,11,UOC,Assistant,,,No,5,5,5,5,3,5,5,5,3,3,3,3,5,5,5,1,3,1,1,5,5,5,1,1,1,1,5,1,1,1,5,5,5,3,1,5,1,5,3,5,1,1,5
31,Female,Arts&Humanities,No,5,UOC,Lecturer,,,No,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,1,5,5,5,5,5,1,5,5,5,5,1,5,5,1,5,5,3,5,3,5,5,5,5,1,1
42,Female,Arts&Humanities,No,4,UOC,Lecturer,,,No,1,1,1,5,1,,5,3,1,1,1,5,1,1,,1,1,3,3,3,3,5,1,1,1,1,1,1,1,3,5,5,1,1,1,3,1,1,1,1,5,1,1
33,Female,Arts&Humanities,No,8,UOC,Lecturer,,,No,5,3,3,5,5,5,5,5,3,3,3,5,5,5,5,1,5,5,5,5,5,5,3,3,3,3,5,3,3,3,5,5,5,5,5,5,5,5,1,3,3,1,3
40,Female,Arts&Humanities,Yes,5,UOC,Assistant,,,No,5,5,5,5,5,,5,5,5,5,5,1,5,5,5,5,3,3,5,5,5,5,5,1,5,1,5,1,3,1,5,3,5,5,5,5,5,5,5,5,5,1,1
31,Female,Arts&Humanities,Yes,5,UOC,Assistant,,,Yes,5,5,5,3,5,3,5,5,5,5,3,3,5,5,5,3,5,5,3,5,5,5,1,1,3,3,5,1,3,5,5,5,3,3,5,5,5,3,5,5,5,1,3
31,Female,Others,No,3,UOC,Lecturer,,,No,3,3,1,5,5,5,5,3,1,1,1,5,1,3,3,1,1,5,1,5,3,5,1,1,1,1,1,1,3,1,5,3,3,1,3,3,3,1,1,1,5,1,1
30,Female,Law&Politics,No,2,UOC,Lecturer,,,No,3,3,5,3,3,3,5,5,3,3,3,5,5,3,3,1,5,5,5,5,5,5,1,3,3,3,5,3,3,1,5,3,3,3,5,5,5,3,5,5,5,1,1
59,Female,Others,Yes,20,UOC,Professor,,,Yes,5,5,5,5,5,5,5,5,5,3,3,1,3,5,1,3,,,,,,,3,5,5,5,,3,3,3,3,3,5,5,5,1,1,5,5,5,5,3,3
46,Female,Others,Yes,6,UOC,Assistant,,,No,5,1,1,5,5,5,1,3,1,3,3,3,1,5,1,1,1,1,1,5,5,5,1,1,1,1,1,3,3,3,5,3,1,1,3,3,1,5,1,1,1,1,3
47,Female,Others,Yes,12,UOC,Assistant,,,No,3,3,3,5,5,5,3,5,3,3,5,3,3,5,5,3,3,5,3,5,5,5,3,3,3,3,5,3,3,3,5,5,3,3,5,5,3,3,3,5,3,3,5
46,Female,Others,Yes,20,UOC,Associate,,,No,3,1,5,5,5,3,5,5,5,5,5,3,5,3,1,5,3,5,5,5,5,5,5,1,5,3,5,3,5,5,5,5,5,5,5,5,5,,5,5,5,1,5
43,Female,Others,Yes,20,UOC,Associate,,,No,1,5,1,5,5,3,1,1,3,3,3,5,5,3,1,1,1,1,1,5,5,5,1,1,1,1,1,1,5,5,5,1,3,3,5,3,3,5,1,3,5,1,1
52,Female,Arts&Humanities,Yes,22,UOC,Associate,,,No,5,3,3,3,5,1,5,5,3,5,1,3,3,,,1,1,1,,5,5,5,1,1,1,,3,3,3,1,5,3,3,3,5,5,5,5,5,5,5,1,3
46,Female,Law&Politics,Yes,17,UOC,Professor,,,No,1,1,3,5,5,5,5,5,5,5,3,1,3,1,1,5,1,3,1,5,5,5,1,1,1,3,5,1,1,5,5,5,3,3,5,1,1,3,3,5,5,1,1
35,Female,Others,Yes,12,UOC,Assistant,,,No,3,3,5,5,5,5,5,5,5,5,3,3,5,5,5,1,3,5,3,5,5,5,3,1,3,3,3,1,5,3,5,3,3,3,5,5,5,1,5,5,5,1,5
50,Female,Others,Yes,25,UOC,Associate,,,No,1,1,5,5,5,3,1,3,3,3,3,1,3,3,5,1,3,3,3,5,5,5,3,3,1,1,5,1,3,5,5,5,1,3,5,3,1,5,5,5,1,1,5
40,Female,Others,Yes,13,UOC,Assistant,,,No,5,5,5,5,5,5,5,5,3,3,3,3,3,3,1,1,1,5,5,5,5,5,1,1,3,3,5,1,5,3,3,1,3,1,1,3,1,5,1,5,5,1,5
48,Female,Others,No,13,UOC,Assistant,,,No,1,3,3,5,5,1,5,5,3,3,1,1,3,1,1,1,1,3,1,5,5,5,1,1,1,1,3,3,1,3,3,3,1,1,1,1,1,1,1,3,3,1,1
46,Female,Others,Yes,12,UOC,Assistant,,,Yes,5,5,5,5,5,5,3,3,3,3,3,5,5,3,3,1,3,3,1,5,5,5,1,1,1,1,3,3,3,5,3,1,5,5,5,5,5,5,5,3,1,1,5
55,Female,Arts&Humanities,Yes,25,UOC,Associate,,,No,1,1,1,5,5,5,3,1,3,3,1,3,1,1,3,1,1,1,3,5,5,5,1,1,1,1,1,1,1,1,3,3,1,1,5,5,5,5,1,3,5,1,1
47,Female,Law&Politics,Yes,9,UOC,Associate,,,No,,,,,,,5,,,,,,,,,1,3,3,,5,3,5,1,1,1,1,,1,1,1,5,3,,,5,5,5,,1,1,1,1,1
51,Female,Others,Yes,25,UOC,Associate,,,No,5,1,5,5,3,3,1,5,1,3,1,1,1,3,3,3,3,5,5,5,5,5,1,1,3,3,5,1,1,1,5,3,3,3,5,5,5,5,1,3,5,1,1
49,Female,Others,Yes,24,UOC,Associate,,,No,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49,Female,Others,No,20,UOC,Assistant,,,No,3,3,3,3,3,3,3,3,5,5,5,3,3,3,3,3,5,5,5,5,5,5,1,3,5,5,5,1,1,1,5,5,5,5,5,5,5,3,5,5,5,1,3
44,Female,Law&Politics,No,19,UOC,Assistant,,,No,3,3,3,5,5,5,5,5,3,3,1,5,3,5,5,1,1,5,3,5,5,5,1,1,1,1,3,1,1,5,5,3,3,3,5,3,3,3,3,5,3,1,5
49,Male,Arts&Humanities,No,6,UOC,Adjunct,No,,No,5,5,5,5,5,5,5,5,5,5,5,5,5,3,,5,1,3,5,5,5,5,5,1,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,5,1,3
46,Male,HealthSciences,No,4,UOC,Adjunct,No,,No,1,1,1,5,3,3,3,3,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1
54,Male,Others,No,11,UOC,Adjunct,No,,No,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,1,1,1,5,5,5,5,5,5,5,5,1,3,3,5,5,5,5,5,5,5,5,5,5,5,1,5
47,Male,Others,No,5,UOC,Adjunct,No,,No,5,3,5,3,5,3,5,,1,1,1,5,3,5,3,3,3,3,,5,5,5,1,1,3,3,5,3,5,3,5,5,3,,5,3,3,3,3,3,5,1,3
53,Male,Others,No,10,UOC,Adjunct,No,,Yes,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3,3,1,1,3,1,1,1,1,3,1,3,1,1,1,1,1,1,3,3,1,3,5,1,1,1,1,1,1
45,Male,Engineering&Architecture,No,12,UOC,Adjunct,No,,No,5,5,5,5,5,5,5,5,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
47,Male,Law&Politics,No,8,UOC,Adjunct,No,,No,3,3,1,5,5,5,5,5,1,1,1,1,1,5,3,1,1,1,1,3,3,5,1,1,1,1,1,1,1,,5,5,3,3,1,1,1,1,1,1,1,1,3
43,Male,Others,No,7,UOC,Adjunct,Yes,Others,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,3,3,5,5,3,5,5,5,5,5,5,5,5,5,1,5
39,Male,Others,No,15,UOC,Adjunct,Yes,Assistant,No,3,1,1,5,5,1,1,3,3,3,3,3,1,1,3,1,1,5,1,5,5,3,1,1,1,1,3,1,1,1,1,1,1,3,5,5,3,5,1,3,5,1,1
51,Male,Arts&Humanities,Yes,5,UOC,Adjunct,No,,No,5,5,5,5,5,3,3,5,5,5,3,5,3,5,3,1,3,5,3,5,5,5,1,1,1,1,5,5,1,1,5,5,3,3,1,5,1,3,1,5,1,1,5
45,Male,Arts&Humanities,No,9,UOC,Adjunct,No,,No,5,5,5,5,5,3,5,1,3,3,1,1,3,3,3,3,1,1,1,5,5,,3,3,5,3,3,1,3,1,1,1,3,5,5,5,5,5,5,5,5,1,5
45,Male,Sciences,No,6,UOC,Adjunct,No,,No,5,5,3,5,5,3,5,5,3,5,5,3,3,3,3,3,5,5,5,5,5,5,1,1,3,5,5,1,5,1,5,5,5,5,5,5,5,5,3,5,5,1,1
39,Male,Engineering&Architecture,No,5,UOC,Adjunct,No,,No,5,3,5,5,5,3,5,5,3,5,5,5,5,3,3,1,3,1,3,5,5,3,1,1,1,1,3,1,5,3,5,5,1,1,5,3,5,5,5,5,5,1,1
40,Male,Sciences,No,12,UOC,Adjunct,No,,No,5,5,5,5,5,5,3,5,5,5,5,1,5,3,5,5,5,5,5,5,5,5,3,3,5,5,5,1,3,1,5,3,5,5,5,5,3,5,5,5,5,1,3
53,Male,Engineering&Architecture,No,7,UOC,Adjunct,No,,No,3,5,5,5,5,3,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,3,1,5,5,5,1,1,1,5,3,5,5,5,5,5,3,5,5,5,1,3
51,Male,Engineering&Architecture,No,5,UOC,Adjunct,No,,No,3,5,5,3,3,1,5,5,3,3,1,3,1,3,3,1,1,3,3,5,5,5,1,1,1,1,5,1,1,1,5,3,1,3,1,1,1,1,1,5,5,1,3
44,Male,Others,No,13,UOC,Adjunct,Yes,Others,Yes,5,5,5,5,5,5,5,,5,5,,1,5,5,1,5,5,3,3,5,5,5,3,3,5,5,5,3,5,3,1,1,5,5,5,3,5,5,3,5,5,3,5
52,Male,Arts&Humanities,No,10,UOC,Adjunct,No,,No,3,1,3,5,3,,1,3,5,3,1,1,,,3,3,1,3,1,5,5,5,1,1,1,1,5,5,5,5,5,5,3,1,3,3,3,3,1,1,1,1,5
46,Male,Engineering&Architecture,No,15,UOC,Adjunct,No,,No,3,3,3,5,5,3,5,5,3,5,5,5,5,3,5,1,3,3,5,5,5,5,1,3,3,3,5,3,1,1,3,3,3,3,3,3,5,3,3,5,5,1,5
43,Male,Law&Politics,Yes,20,UOC,Adjunct,Yes,Associate,No,1,1,1,5,3,3,1,3,1,1,1,5,1,1,3,1,1,3,1,3,5,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1
47,Male,Others,No,14,UOC,Adjunct,No,,No,3,1,5,5,3,3,3,3,3,3,1,5,1,3,3,1,3,5,3,5,3,5,1,1,1,1,3,1,5,3,3,3,1,1,5,5,5,3,3,3,5,1,1
43,Male,Others,No,16,UOC,Adjunct,No,,No,5,5,5,5,5,5,5,3,5,5,5,3,5,3,3,1,1,1,1,5,5,5,3,1,5,3,5,5,5,5,5,3,3,3,3,1,1,1,5,5,5,1,5
48,Male,Others,No,15,UOC,Adjunct,No,,No,1,3,5,5,,3,1,5,5,5,5,3,3,3,3,5,3,3,5,5,5,5,5,1,3,3,5,1,1,1,5,3,3,5,5,5,5,3,1,1,5,1,1
44,Male,Arts&Humanities,Yes,20,UOC,Adjunct,Yes,Associate,No,3,5,5,5,5,1,5,5,5,3,3,3,3,3,3,1,1,1,1,3,1,3,1,1,3,1,5,1,1,1,3,3,3,3,3,5,3,3,1,3,1,1,1
44,Male,Others,No,20,UOC,Adjunct,Yes,Others,No,5,5,3,5,5,5,5,5,3,5,1,3,3,1,5,1,3,5,5,5,5,5,1,1,3,3,5,1,3,3,5,5,3,3,5,5,5,3,5,5,5,1,3
41,Male,Others,Yes,15,UOC,Adjunct,Yes,Others,No,5,5,5,5,5,3,5,5,3,3,3,3,5,5,3,1,1,3,3,5,5,5,5,1,3,3,5,1,1,1,3,1,3,3,5,3,5,5,5,5,5,1,1
47,Male,Sciences,Yes,21,UOC,Adjunct,Yes,Associate,No,5,5,5,5,3,5,5,5,3,5,1,1,3,5,5,5,5,5,3,5,5,5,1,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,1,1
42,Male,Others,Yes,17,UOC,Adjunct,Yes,Associate,No,5,5,5,5,5,3,5,5,5,3,1,,3,3,3,1,3,5,3,5,5,5,1,1,5,1,5,1,3,1,5,1,3,5,3,5,5,5,5,5,5,1,1
33,Male,Engineering&Architecture,No,5,UOC,Adjunct,No,,No,1,3,3,5,5,5,5,5,3,3,3,1,5,1,1,1,1,3,1,3,5,5,1,1,1,1,1,1,1,1,5,5,1,1,3,3,1,3,1,3,3,1,5
41,Male,Others,Yes,14,UOC,Adjunct,No,,No,5,3,5,1,5,3,5,3,5,5,5,3,5,3,3,3,3,3,5,5,5,5,3,3,3,5,5,3,3,3,3,3,5,5,3,3,5,5,5,5,5,3,3
40,Male,Others,Yes,,UOC,Adjunct,Yes,Associate,Yes,3,5,5,5,5,1,5,5,5,5,1,5,,,5,5,3,1,,5,5,5,5,1,5,,5,5,5,5,1,1,3,5,1,3,1,3,5,5,5,1,5
46,Male,Engineering&Architecture,Yes,23,UOC,Adjunct,Yes,Associate,Yes,1,3,5,1,5,3,3,3,3,5,1,5,3,3,5,5,3,5,1,5,5,5,5,1,3,3,3,1,1,5,1,3,1,3,1,3,1,1,5,5,5,1,1
45,Male,Engineering&Architecture,Yes,20,UOC,Adjunct,Yes,Assistant,No,3,3,5,5,5,,5,5,5,5,3,1,5,,,1,3,,3,5,5,5,1,1,1,3,5,1,1,1,3,1,5,5,5,5,5,5,5,5,5,1,1
43,Male,Engineering&Architecture,No,15,UOC,Adjunct,Yes,Associate,No,3,3,3,5,5,3,5,5,3,5,3,3,3,3,3,3,1,5,3,5,5,5,1,1,3,3,3,1,1,1,3,3,3,3,5,3,3,3,5,5,5,1,1
44,Male,Engineering&Architecture,No,14,UOC,Adjunct,No,,No,3,,3,5,5,,1,5,1,1,1,5,1,,5,1,1,5,3,5,1,5,1,1,1,1,1,1,5,1,3,1,3,1,5,,5,,3,3,1,1,1
56,Male,Engineering&Architecture,No,3,UOC,Adjunct,No,,No,1,1,1,3,3,1,3,1,3,1,1,5,1,,,1,,,,5,5,5,1,1,1,1,3,1,1,1,5,,1,1,5,3,3,,1,3,3,1,1
43,Male,Others,Yes,8,UOC,Adjunct,,,No,3,3,3,3,3,3,3,3,5,5,5,3,3,3,3,,3,3,3,3,3,5,5,5,,,3,,5,,3,3,3,3,,,,,5,5,5,1,1
41,Male,Others,Yes,10,UOC,Adjunct,Yes,Others,No,5,5,5,5,5,3,5,5,3,3,3,3,5,5,3,5,1,5,3,5,5,5,1,1,5,5,5,1,3,3,5,1,5,5,5,5,5,5,3,5,5,1,3
49,Male,Sciences,Yes,22,UOC,Adjunct,Yes,Assistant,No,5,5,5,5,5,,5,3,5,5,5,1,5,,,5,1,3,3,5,5,5,5,1,3,3,3,1,3,3,5,1,3,5,5,5,5,5,5,5,5,1,1
47,Male,Sciences,Yes,19,UOC,Adjunct,Yes,Assistant,No,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,1,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
47,Male,Engineering&Architecture,Yes,20,UOC,Adjunct,Yes,Adjunct,No,5,5,5,5,3,5,5,5,3,5,3,1,3,3,5,1,1,5,5,5,3,5,1,1,3,3,3,1,1,1,5,3,3,3,5,5,5,5,5,5,5,1,5
48,Male,Others,No,4,UOC,Adjunct,No,,No,3,3,1,5,5,3,3,3,1,3,3,3,3,3,3,1,1,3,5,5,5,5,3,3,1,1,5,3,3,3,5,5,3,3,3,3,3,5,1,3,3,3,3
49,Male,Others,No,5,UOC,Adjunct,No,,No,3,3,3,5,5,3,3,5,5,5,3,5,3,,,1,3,5,,3,5,3,1,1,1,1,1,5,3,3,5,5,1,1,3,5,3,3,1,3,1,1,1
46,Male,Others,Yes,11,UOC,Adjunct,No,,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,3,5,1,3,5,3,5,5,3,5,5,5,5,5,5,5,3,5,3,5,5,5,5
57,Male,Sciences,No,12,UOC,Adjunct,No,,No,5,,5,5,5,,5,,5,5,5,,5,,,3,3,5,5,5,5,5,3,,5,3,5,5,5,3,5,5,5,5,5,5,,,5,5,1,3,5
43,Male,Others,No,12,UOC,Adjunct,No,,No,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,1,3,5,3,5,5,5,1,1,3,3,5,3,3,5,5,5,3,3,5,5,5,5,3,3,5,1,5
48,Male,Sciences,Yes,25,UOC,Adjunct,Yes,Associate,No,5,5,5,5,5,1,5,5,5,5,5,1,5,5,3,3,1,3,5,5,5,5,5,5,5,5,5,1,3,1,1,1,5,5,5,5,3,5,5,5,5,1,1
45,Male,Law&Politics,No,12,UOC,Adjunct,No,,No,3,3,3,5,5,1,5,5,3,3,1,1,3,3,3,1,1,5,1,5,5,5,1,1,3,1,3,3,3,1,5,3,3,3,5,1,5,5,1,5,5,1,1
53,Male,Sciences,No,12,UOC,Adjunct,No,,No,3,1,5,5,3,3,5,3,5,5,5,3,3,1,3,1,3,5,3,3,5,5,1,1,1,1,5,1,1,1,5,5,3,1,5,3,1,3,5,3,1,1,5
43,Male,Law&Politics,Yes,18,UOC,Adjunct,Yes,Associate,No,1,1,1,5,5,1,5,5,3,3,1,1,1,1,3,1,1,3,1,3,5,5,1,1,1,1,3,1,1,1,3,3,1,1,5,3,3,3,3,5,5,1,1
42,Male,Others,Yes,20,UOC,Adjunct,Yes,Others,No,5,5,5,5,5,5,5,5,5,5,3,3,5,5,1,1,1,1,3,5,5,5,5,5,5,3,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,5
39,Male,Engineering&Architecture,Yes,14,UOC,Adjunct,Yes,Associate,Yes,5,5,5,5,5,5,5,5,5,5,3,1,5,3,5,5,1,5,5,5,5,5,1,3,5,5,5,3,3,5,5,3,5,5,3,5,3,5,5,5,5,5,1
44,Male,Law&Politics,No,16,UOC,Adjunct,Yes,Others,No,1,1,1,5,3,3,5,3,1,1,1,5,1,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,1,3,3,3,1,1,3,3,3,3,1,3,3,1,1
39,Male,Engineering&Architecture,No,7,UOC,Adjunct,No,,No,3,5,5,5,5,3,5,5,5,5,5,1,5,3,3,5,3,5,3,5,5,5,3,5,5,5,5,3,1,3,5,5,5,5,5,1,1,1,5,5,5,1,1
38,Male,Engineering&Architecture,Yes,6,UOC,Adjunct,No,,No,,5,5,5,5,5,5,3,5,5,5,5,5,5,5,1,3,5,5,5,5,5,1,1,3,3,5,1,3,3,3,3,3,3,5,5,5,5,5,5,5,1,3
43,Male,Engineering&Architecture,No,7,UOC,Adjunct,No,,No,5,3,3,5,5,5,5,5,5,5,5,1,1,3,1,1,3,5,3,5,5,5,1,1,3,3,5,1,1,1,5,5,1,1,1,5,5,3,3,3,5,1,1
46,Male,Arts&Humanities,No,12,UOC,Adjunct,No,,No,5,3,5,5,5,5,5,5,5,3,3,1,5,5,5,1,3,5,5,5,5,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5
39,Male,Others,No,4,UOC,Adjunct,No,,No,5,3,5,5,5,3,3,3,3,3,3,5,5,5,5,3,3,3,5,5,5,5,1,1,3,3,5,5,5,5,3,3,3,3,3,3,3,3,1,1,3,1,5
58,Male,Engineering&Architecture,No,10,UOC,Adjunct,No,,No,3,3,5,5,5,5,5,5,3,3,3,3,5,5,3,1,3,5,5,5,5,5,1,3,1,1,5,5,5,5,5,5,3,3,5,5,3,3,3,5,5,1,5
41,Male,Others,Yes,15,UOC,Adjunct,Yes,Associate,No,5,5,3,5,5,3,5,5,5,5,1,1,1,1,1,1,1,1,1,3,1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,5,5,1,3
43,Male,Others,No,3,UOC,Adjunct,No,,No,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,3,3,5,5,5,1,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5
38,Male,Others,No,9,UOC,Adjunct,No,,No,1,1,3,5,5,3,5,5,5,5,3,5,3,1,1,1,1,1,3,5,5,5,1,1,1,1,5,1,3,1,5,1,1,3,5,3,5,5,5,5,5,1,1
56,Male,HealthSciences,No,22,UOC,Adjunct,No,,No,1,1,3,5,3,1,5,5,3,1,1,5,1,3,1,1,5,5,5,5,5,5,1,1,1,1,5,1,1,1,5,5,1,1,5,3,5,5,1,3,5,1,3
46,Male,Arts&Humanities,No,10,UOC,Adjunct,No,,No,3,1,1,5,5,5,3,3,3,5,5,5,3,1,3,1,1,3,1,5,5,5,1,1,1,1,3,1,1,1,5,5,1,1,3,1,1,1,1,1,5,1,1
47,Male,Engineering&Architecture,No,5,UOC,Adjunct,No,,No,1,1,1,5,3,,1,5,,,,,,,,1,1,5,3,5,5,5,1,1,1,1,1,5,5,5,5,,1,1,,,,,1,1,3,1,
37,Male,Others,No,2,UOC,Adjunct,No,,Yes,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
44,Male,Engineering&Architecture,No,1,UOC,Adjunct,No,,Yes,3,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,3,5,5,5,5,5,1,5,1,1,3,1,5,5,5,5,3,5,5,3,3,3,5,5,5,5,5
63,Male,Sciences,No,,UOC,Adjunct,No,,No,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,1,3,3,3,3,3,5,1,1,3,3,5,1,5,1,5,5,5,3,5,5,5,3,1,1,1,1,5
48,Male,Others,No,7,UOC,Adjunct,Yes,Others,No,5,5,5,5,5,5,5,5,3,5,5,3,3,3,3,1,3,3,5,5,5,5,1,1,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,3
68,Male,Others,No,18,UOC,Adjunct,No,,No,5,5,5,5,5,3,5,5,3,5,5,5,3,5,3,1,3,5,5,5,5,5,3,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,1,3
42,Male,Others,Yes,18,UOC,Adjunct,Yes,Associate,No,1,1,1,5,5,3,3,5,3,5,5,3,1,1,3,1,3,5,3,5,5,5,1,1,1,1,3,1,1,1,5,3,1,1,1,1,1,1,1,5,5,1,1
49,Male,Sciences,Yes,20,UOC,Adjunct,Yes,Associate,No,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,3,5,5,5,1,1,1,1,1,1,1,1,5,5,1,1,5,5,5,5,1,1,5,1,1
48,Male,Sciences,Yes,20,UOC,Adjunct,Yes,Associate,No,1,3,3,5,5,3,3,3,5,5,5,3,3,3,3,3,3,5,3,5,3,3,1,1,3,3,5,1,1,1,3,3,3,1,5,5,3,5,3,1,1,1,1
40,Male,Others,Yes,15,UOC,Adjunct,Yes,Assistant,No,3,3,5,5,5,1,3,1,3,3,1,3,3,3,1,1,3,5,3,5,5,5,1,1,5,3,5,1,1,1,1,1,3,3,5,5,5,1,1,5,5,1,1
46,Male,Engineering&Architecture,Yes,23,UOC,Adjunct,Yes,Associate,Yes,5,5,5,5,5,3,5,5,5,5,3,1,5,3,3,5,3,3,3,5,5,5,5,1,5,5,5,5,5,5,3,5,5,5,3,1,1,1,5,5,5,3,3
55,Male,HealthSciences,Yes,20,UOC,Adjunct,Yes,Lecturer,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
